,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,French,English
0,0,0,0,partie,part
1,1,1,1,histoire,history
2,2,2,2,chercher,search
3,3,3,3,seulement,only
4,4,4,4,police,police
5,6,6,6,aide,help
6,7,7,7,demande,request
7,8,8,9,mois,month
8,9,9,10,frère,brother
9,10,10,11,laisser,let
10,11,11,12,car,because
11,12,12,13,mettre,to put
12,13,13,14,aucun,no
13,14,14,15,laisse,leash
14,15,15,16,eux,them
15,16,16,17,ville,city
16,17,17,18,chaque,each
17,18,18,19,parlé,speak
18,19,19,20,arrivé,come
19,20,20,21,devrait,should
20,21,21,22,bébé,baby
21,22,22,23,longtemps,long time
22,23,23,24,heures,hours
23,24,24,25,vont,will
24,25,25,26,pendant,while
25,26,26,27,revoir,meet again
26,27,27,28,aucune,any
27,28,28,29,place,square
28,29,29,30,parle,speak
29,30,30,31,compris,understood
30,31,31,32,savais,knew
31,32,32,33,étaient,were
32,33,33,34,attention,Warning
33,34,34,35,voici,here is
34,35,35,36,pourrais,could
35,36,36,37,affaire,case
36,37,37,38,donner,give
37,38,38,39,type,type
38,39,39,40,leurs,their
39,40,40,41,donné,given
40,41,41,42,train,train
41,42,42,43,corps,body
42,43,43,44,endroit,place
43,44,44,45,yeux,eyes
44,45,45,46,façon,way
45,46,46,47,écoute,listen
46,47,47,48,dont,whose
47,48,48,49,trouve,find
48,49,49,50,premier,first
49,50,50,51,perdu,lost
50,51,51,52,main,hand
51,52,52,53,première,first
52,53,55,56,vieux,old
53,54,56,57,sois,be
54,55,57,58,tiens,here
55,56,58,59,matin,morning
56,57,59,60,tellement,so much
57,58,60,61,enfant,child
58,59,61,62,point,point
59,60,62,63,venu,came
60,61,63,64,suite,after
61,62,65,66,venez,come
62,63,66,67,devant,in front of
63,64,67,68,vers,towards
64,65,68,69,minutes,minutes
65,66,69,71,chambre,bedroom
66,67,70,72,mis,placed
67,68,71,73,belle,beautiful
68,69,73,75,aimerais,would like to
69,70,74,76,aujourd'hui,today
70,71,75,77,mari,husband
71,72,76,78,cause,cause
72,73,77,79,enfin,finally
73,74,78,80,espère,hope
74,75,79,81,eau,water
75,76,80,82,attendez,Wait
76,77,81,83,parti,left
77,78,82,84,nouvelle,new
78,79,83,85,boulot,job
79,80,84,86,arrêter,Stop
80,81,85,87,dirait,would say
81,82,86,88,terre,Earth
82,83,87,89,compte,account
83,84,88,90,donne,given
84,85,89,91,loin,far
85,86,90,92,fin,end
86,87,91,93,croire,believe
87,88,92,94,chérie,sweetheart
88,89,93,95,gros,large
89,90,94,96,plutôt,rather
90,91,95,97,aura,will have
91,92,96,98,filles,girls
92,93,97,99,jouer,to play
93,94,98,100,bureau,office
